"Temperature variable","Precipitation variable","model","formula","7-day Diarrhea","Adenovirus 40/41","Norovirus","Sapovirus","Any Virus","Cryptosporidium","E. bieneusi","Giardia","Any Parasite","Aeromonas","B. fragilis","Campylobacter","C. difficile","Plesiomonas","Shigella/EIEC","EAEC","EPEC","ETEC","STEC"
"temp_weekavg_3weeklag_C","   ppt_week_sum_3weeklag_median","temp + ppt + temp*ppt + A","Y ~ temp_weekavg_3weeklag_C + ppt_week_sum_3weeklag_median + temp_weekavg_3weeklag_C*ppt_week_sum_3weeklag_median","3721.69","723.30","1324.19","1048.59","1966.18","1051.53","941.64","1130.73","1960.72","648.31","1588.92","2270.72","873.87","1219.87","1154.16","2701.04","2395.47","2072.58","995.70"
"temp_monthavg_0weeklag_C","   NA","temp + A","Y ~ temp_monthavg_0weeklag_C"," NA","717.93","1328.45","1047.75","1962.48","1054.67","933.87","1119.42","1957.17","637.99","1589.12","2272.31","874.18","1215.25","1152.52","2697.50","2395.08","2073.81","995.09"
"temp_monthavg_0weeklag_C","   heavyrain_0weeklag","temp + ppt + A","Y ~ temp_monthavg_0weeklag_C + heavyrain_0weeklag"," NA","718.67","1330.24","1042.09","1964.10","1053.51","934.56","1121.41","1956.53","638.98","1590.69","2274.30","870.16","1217.17","1147.47","2698.52","2391.58","2073.68","996.75"
"temp_monthavg_0weeklag_C","   heavyrain_0weeklag","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_0weeklag_C + heavyrain_0weeklag + temp_monthavg_0weeklag_C*heavyrain_0weeklag"," NA","722.67","1333.21","1045.31","1967.63","1057.51","934.52","1125.13","1960.53","642.98","1594.69","2278.30","874.16","1221.17","1149.67","2702.52","2395.54","2070.44","999.53"
"temp_monthavg_0weeklag_C","   heavyrain_0weeklag_90","temp + ppt + A","Y ~ temp_monthavg_0weeklag_C + heavyrain_0weeklag_90"," NA","719.93","1330.18","1044.30","1964.21","1055.86","935.81","1120.34","1959.04","639.99","1584.55"," NA","875.30"," NA","1151.96","2698.53","2391.77"," NA","996.15"
"temp_monthavg_0weeklag_C","   heavyrain_0weeklag_90","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_0weeklag_C + heavyrain_0weeklag_90 + temp_monthavg_0weeklag_C*heavyrain_0weeklag_90"," NA","723.93","1335.64","1047.93","1968.21","1059.86","939.81","1124.34","1963.04","643.29","1588.55"," NA","873.32"," NA","1155.86","2702.53","2395.77"," NA","999.87"
"temp_monthavg_0weeklag_C","   ppt_week_sum_0weeklag_75","temp + ppt + A","Y ~ temp_monthavg_0weeklag_C + ppt_week_sum_0weeklag_75"," NA","717.18","1330.19","1044.43","1962.97","1056.32","935.80","1121.31","1959.04","639.99","1582.73"," NA","875.55"," NA","1152.62","2699.25","2391.96"," NA","996.78"
"temp_monthavg_0weeklag_C","   ppt_week_sum_0weeklag_75","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_0weeklag_C + ppt_week_sum_0weeklag_75 + temp_monthavg_0weeklag_C*ppt_week_sum_0weeklag_75"," NA","723.24","1334.19","1046.66","1966.97","1060.32","939.80","1125.31","1963.04","643.73","1586.73"," NA","879.55"," NA","1156.62","2703.25","2395.96"," NA","999.58"
"temp_monthavg_0weeklag_C","   ppt_week_sum_0weeklag_90","temp + ppt + A","Y ~ temp_monthavg_0weeklag_C + ppt_week_sum_0weeklag_90"," NA","719.65","1329.56","1045.34","1964.02","1055.78","935.67","1121.42","1959.07","639.86","1583.24"," NA","872.93"," NA","1153.66","2698.80","2391.70"," NA","995.80"
"temp_monthavg_0weeklag_C","   ppt_week_sum_0weeklag_90","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_0weeklag_C + ppt_week_sum_0weeklag_90 + temp_monthavg_0weeklag_C*ppt_week_sum_0weeklag_90"," NA","723.65","1331.16","1047.37","1968.02","1059.47","939.67","1125.42","1963.07","643.86","1587.24"," NA","876.93"," NA","1157.66","2702.80","2395.70"," NA","999.25"
"temp_monthavg_0weeklag_C","   ppt_week_sum_0weeklag_median","temp + ppt + A","Y ~ temp_monthavg_0weeklag_C + ppt_week_sum_0weeklag_median"," NA","719.92","1327.52","1037.57","1960.81","1056.04","931.90","1120.37","1959.12","639.97","1591.03","2271.88","869.98","1216.31","1153.42","2698.06","2391.95","2075.70","995.42"
"temp_monthavg_0weeklag_C","   ppt_week_sum_0weeklag_median","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_0weeklag_C + ppt_week_sum_0weeklag_median + temp_monthavg_0weeklag_C*ppt_week_sum_0weeklag_median"," NA","720.73","1327.01","1041.57","1958.41","1059.77","935.90","1124.37","1963.12","642.00","1595.03","2275.88","873.98","1232.29","1154.21","2702.06","2395.95","2074.94","998.34"
"temp_monthavg_1weeklag_C","   NA","temp + A","Y ~ temp_monthavg_1weeklag_C","3715.72","717.20","1328.44","1045.85","1958.84","1053.97","934.52","1125.58","1957.17","642.79","1589.12","2272.31","874.13","1215.25","1150.53","2696.84","2395.08","2067.31","994.44"
"temp_monthavg_1weeklag_C","   heavyrain_1weeklag","temp + ppt + A","Y ~ temp_monthavg_1weeklag_C + heavyrain_1weeklag","3717.03","719.21","1323.90","1039.63","1957.58","1053.45","933.64","1127.57","1958.93","637.95","1591.05","2273.91","870.24","1216.41","1152.52","2698.83","2391.95","2069.11","996.44"
"temp_monthavg_1weeklag_C","   heavyrain_1weeklag","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_1weeklag_C + heavyrain_1weeklag + temp_monthavg_1weeklag_C*heavyrain_1weeklag","3724.19","719.99","1327.90","1043.63","1961.58","1057.45","936.56","1131.57","1962.93","640.21","1595.05","2277.91","874.24","1220.41","1156.20","2702.83","2395.81","2072.38","1000.44"
"temp_monthavg_1weeklag_C","   heavyrain_1weeklag_90","temp + ppt + A","Y ~ temp_monthavg_1weeklag_C + heavyrain_1weeklag_90","3717.63","717.84","1329.77","1035.60","1960.52","1055.55","929.84","1126.61","1959.03","639.55","1591.07"," NA","874.96"," NA","1151.55","2698.63","2391.96"," NA","996.42"
"temp_monthavg_1weeklag_C","   heavyrain_1weeklag_90","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_1weeklag_C + heavyrain_1weeklag_90 + temp_monthavg_1weeklag_C*heavyrain_1weeklag_90","3720.64","721.67","1333.77","1039.60","1964.52","1059.05","934.54","1130.61","1963.03","643.03","1595.07"," NA","878.87"," NA","1155.44","2702.63","2395.96"," NA","1000.42"
"temp_monthavg_1weeklag_C","   ppt_week_sum_1weeklag_75","temp + ppt + A","Y ~ temp_monthavg_1weeklag_C + ppt_week_sum_1weeklag_75","3716.99","718.80","1328.90","1039.40","1960.58","1054.79","931.08","1126.00","1958.66","644.53","1591.08"," NA","875.80"," NA","1152.33","2698.83","2391.76"," NA","996.41"
"temp_monthavg_1weeklag_C","   ppt_week_sum_1weeklag_75","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_1weeklag_C + ppt_week_sum_1weeklag_75 + temp_monthavg_1weeklag_C*ppt_week_sum_1weeklag_75","3721.87","722.80","1332.90","1043.40","1964.58","1058.79","935.08","1130.00","1962.66","642.94","1595.08"," NA","879.80"," NA","1150.94","2702.83","2395.76"," NA","1000.41"
"temp_monthavg_1weeklag_C","   ppt_week_sum_1weeklag_90","temp + ppt + A","Y ~ temp_monthavg_1weeklag_C + ppt_week_sum_1weeklag_90","3717.69","718.31"," NA","1033.02","1956.23","1055.55","931.51","1124.97","1959.12","644.69","1590.00"," NA","870.18"," NA","1151.90","2698.84","2391.53"," NA","996.39"
"temp_monthavg_1weeklag_C","   ppt_week_sum_1weeklag_90","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_1weeklag_C + ppt_week_sum_1weeklag_90 + temp_monthavg_1weeklag_C*ppt_week_sum_1weeklag_90","3721.69","722.32"," NA","1037.02","1960.23","1059.17","935.51","1128.97","1963.12","648.45","1594.00"," NA","874.18"," NA","1155.90","2702.84","2395.53"," NA","1000.39"
"temp_monthavg_1weeklag_C","   ppt_week_sum_1weeklag_median","temp + ppt + A","Y ~ temp_monthavg_1weeklag_C + ppt_week_sum_1weeklag_median","3716.11","719.20","1327.99","1036.80","1958.32","1055.45","935.82","1125.76","1959.13","639.52","1590.85","2274.12","869.27","1227.98","1152.52","2698.25","2391.95","2067.61","995.86"
"temp_monthavg_1weeklag_C","   ppt_week_sum_1weeklag_median","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_1weeklag_C + ppt_week_sum_1weeklag_median + temp_monthavg_1weeklag_C*ppt_week_sum_1weeklag_median","3727.66","723.20","1331.99","1040.52","1962.32","1059.45","939.90","1126.82","1963.13","646.05","1594.85","2278.12","873.27","1218.98","1156.52","2702.25","2395.92","2071.61","999.86"
"temp_monthavg_2weeklag_C","   NA","temp + A","Y ~ temp_monthavg_2weeklag_C","3713.69","716.11","1332.56","1047.30","1955.42","1054.23","934.26","1119.54","1957.17","643.02","1589.12","2272.31","874.14","1215.25","1147.50","2696.48","2395.08","2061.40","994.63"
"temp_monthavg_2weeklag_C","   heavyrain_2weeklag","temp + ppt + A","Y ~ temp_monthavg_2weeklag_C + heavyrain_2weeklag","3711.09","718.24","1328.31","1044.03","1957.40","1056.16","935.79","1123.35","1959.13","632.88","1590.99","2273.06","869.96","1216.98","1149.48","2697.86","2391.13","2061.23","995.26"
"temp_monthavg_2weeklag_C","   heavyrain_2weeklag","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_2weeklag_C + heavyrain_2weeklag + temp_monthavg_2weeklag_C*heavyrain_2weeklag","3715.09","720.48","1327.22","1048.03","1961.40","1060.16","939.92","1127.35","1963.13","635.18","1594.99","2277.06","873.96","1220.98","1153.48","2701.86","2395.13","2065.23","999.26"
"temp_monthavg_2weeklag_C","   heavyrain_2weeklag_90","temp + ppt + A","Y ~ temp_monthavg_2weeklag_C + heavyrain_2weeklag_90","3708.04","717.54","1322.85","1038.60","1956.21","1056.23","936.26","1121.98","1958.80","635.06","1591.11","2273.04","870.23","1217.06","1149.31","2698.39","2389.56","2062.89","994.98"
"temp_monthavg_2weeklag_C","   heavyrain_2weeklag_90","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_2weeklag_C + heavyrain_2weeklag_90 + temp_monthavg_2weeklag_C*heavyrain_2weeklag_90","3721.31","715.30","1320.74","1041.84","1959.10","1060.23","940.26","1125.98","1962.80","637.48","1595.11","2277.04","874.09","1234.29","1152.34","2702.39","2393.56","2066.89","998.98"
"temp_monthavg_2weeklag_C","   ppt_week_sum_2weeklag_75","temp + ppt + A","Y ~ temp_monthavg_2weeklag_C + ppt_week_sum_2weeklag_75","3711.13","718.05","1320.67","1040.31","1957.34","1056.22","936.25","1122.58","1959.02","632.37","1591.01","2272.59","869.61","1230.73","1149.26","2698.42","2389.70","2063.05","996.16"
"temp_monthavg_2weeklag_C","   ppt_week_sum_2weeklag_75","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_2weeklag_C + ppt_week_sum_2weeklag_75 + temp_monthavg_2weeklag_C*ppt_week_sum_2weeklag_75","3715.13","715.56","1320.83","1044.31","1961.34","1060.22","940.25","1126.58","1963.02","635.68","1595.01","2276.59","873.26","1221.22","1153.26","2702.41","2393.70","2067.05","999.23"
"temp_monthavg_2weeklag_C","   ppt_week_sum_2weeklag_90","temp + ppt + A","Y ~ temp_monthavg_2weeklag_C + ppt_week_sum_2weeklag_90","3711.32","718.43","1327.40","1040.30"," NA","1055.29","936.18","1123.77","1956.47","636.60"," NA"," NA","870.05"," NA","1149.45","2698.11","2391.36"," NA","995.89"
"temp_monthavg_2weeklag_C","   ppt_week_sum_2weeklag_90","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_2weeklag_C + ppt_week_sum_2weeklag_90 + temp_monthavg_2weeklag_C*ppt_week_sum_2weeklag_90","3715.32","722.15","1330.44","1044.30"," NA","1059.45","940.18","1127.77","1960.45","640.25"," NA"," NA","874.05"," NA","1153.45","2702.10","2395.36"," NA","998.78"
"temp_monthavg_2weeklag_C","   ppt_week_sum_2weeklag_median","temp + ppt + A","Y ~ temp_monthavg_2weeklag_C + ppt_week_sum_2weeklag_median","3711.28","718.06","1330.89","1044.01","1957.41","1053.29","936.22","1117.29","1959.17","631.11","1591.09","2274.21","870.28","1217.25","1149.49","2698.27","2390.50","2063.25","996.30"
"temp_monthavg_2weeklag_C","   ppt_week_sum_2weeklag_median","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_2weeklag_C + ppt_week_sum_2weeklag_median + temp_monthavg_2weeklag_C*ppt_week_sum_2weeklag_median","3715.28","711.91","1334.48","1040.93","1961.41","1057.29","940.22","1121.29","1963.17","635.11","1595.09","2278.21","874.28","1221.25","1148.81","2702.27","2394.50","2067.25","1000.30"
"temp_monthavg_3weeklag_C","   NA","temp + A","Y ~ temp_monthavg_3weeklag_C","3715.06","715.60","1331.38","1041.54","1955.27","1054.28","934.12","1119.56","1957.17","643.04","1589.12","2272.31","874.29","1215.25","1143.56","2696.04","2395.07","2056.32","995.91"
"temp_monthavg_3weeklag_C","   heavyrain_3weeklag","temp + ppt + A","Y ~ temp_monthavg_3weeklag_C + heavyrain_3weeklag","3717.00","717.83","1325.93","1042.30","1956.29","1046.84","936.04","1120.86","1958.66","644.07","1591.10","2268.58","869.65","1227.50","1145.07","2697.77","2391.30","2058.32","996.71"
"temp_monthavg_3weeklag_C","   heavyrain_3weeklag","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_3weeklag_C + heavyrain_3weeklag + temp_monthavg_3weeklag_C*heavyrain_3weeklag","3731.02","721.84","1329.33","1046.30","1963.10","1050.84","940.04","1124.86","1962.66","643.15","1590.09","2272.58","873.65","1231.50","1149.07","2701.77","2395.14","2062.32","997.47"
"temp_monthavg_3weeklag_C","   heavyrain_3weeklag_90","temp + ppt + A","Y ~ temp_monthavg_3weeklag_C + heavyrain_3weeklag_90","3716.08","717.81","1329.89","1043.53","1954.48","1056.28","936.08","1119.15","1959.13","644.95","1584.43"," NA","870.15"," NA","1144.94","2697.14","2391.77"," NA","997.91"
"temp_monthavg_3weeklag_C","   heavyrain_3weeklag_90","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_3weeklag_C + heavyrain_3weeklag_90 + temp_monthavg_3weeklag_C*heavyrain_3weeklag_90","3720.08","720.07","1333.89","1047.53","1958.48","1060.28","940.08","1123.15","1963.13","649.23","1588.43"," NA","874.15"," NA","1148.94","2701.14","2395.75"," NA","1000.78"
"temp_monthavg_3weeklag_C","   ppt_week_sum_3weeklag_75","temp + ppt + A","Y ~ temp_monthavg_3weeklag_C + ppt_week_sum_3weeklag_75","3716.98","716.64","1329.92","1042.91","1957.12","1056.18","935.63","1120.48","1959.17","644.34","1591.07","2270.12","870.12","1228.91","1145.09","2696.96","2391.77","2057.94","997.82"
"temp_monthavg_3weeklag_C","   ppt_week_sum_3weeklag_75","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_3weeklag_C + ppt_week_sum_3weeklag_75 + temp_monthavg_3weeklag_C*ppt_week_sum_3weeklag_75","3720.98","720.63","1333.92","1046.91","1961.12","1060.18","938.05","1124.48","1963.17","647.84","1590.07","2274.12","874.12","1221.15","1149.09","2700.85","2395.65","2061.94","999.28"
"temp_monthavg_3weeklag_C","   ppt_week_sum_3weeklag_90","temp + ppt + A","Y ~ temp_monthavg_3weeklag_C + ppt_week_sum_3weeklag_90","3714.96","716.13","1327.39","1043.36","1956.02","1054.57","935.81","1120.70","1957.16","645.01","1582.26"," NA","870.14"," NA","1144.70","2697.89","2390.89"," NA","997.77"
"temp_monthavg_3weeklag_C","   ppt_week_sum_3weeklag_90","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_3weeklag_C + ppt_week_sum_3weeklag_90 + temp_monthavg_3weeklag_C*ppt_week_sum_3weeklag_90","3718.96","720.13","1331.39","1047.76","1963.30","1058.57","939.81","1121.76","1961.16","648.90","1586.26"," NA","874.12"," NA","1148.70","2701.78","2394.89"," NA","1000.99"
"temp_monthavg_3weeklag_C","   ppt_week_sum_3weeklag_median","temp + ppt + A","Y ~ temp_monthavg_3weeklag_C + ppt_week_sum_3weeklag_median","3716.78","715.76","1320.21","1043.24","1953.55","1047.66","935.50","1120.25","1956.72","644.96","1584.92","2267.98","869.87","1215.87","1145.49","2697.04","2391.47","2058.07","993.51"
"temp_monthavg_3weeklag_C","   ppt_week_sum_3weeklag_median","temp + ppt + temp*ppt + A","Y ~ temp_monthavg_3weeklag_C + ppt_week_sum_3weeklag_median + temp_monthavg_3weeklag_C*ppt_week_sum_3weeklag_median","3720.73","719.77","1324.21","1048.59","1957.55","1051.66","939.50","1124.25","1960.72","648.96","1588.92","2271.98","873.87","1219.87","1147.90","2701.04","2395.47","2062.07","996.65"
